title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
"Ponte Preta 0 x 3 Corinthians, Melhores Momentos, Paulistao 2017",PMsDsr-BMR4,188071,3157,211,607,0
Ponte Preta 0 x 3 Corinthians - Melhores Momentos & Gols - Campeonato Paulista 2017,9wiTYVvBXbY,191393,3539,176,801,0
"Corinthians 1 x 1 Sao Paulo, Melhores Momentos, Paulistao 2017 - COMPLETO",7rnq3zxIcsE,220233,2391,204,449,0
LIGA NACIONAL DE FUTSAL -  ATLANTICO ERECHIM X CORINTHIANS,sbqVK6IlBfA,3827,477,19,0,0
''CORINTHIANS FEZ O QUE PALMEIRAS E SANTOS NAO FIZERAM'' DIZ SORMANI - PON 0x3 COR (30/04) -,8iMFWc1e2ro,58430,716,33,239,0
"Corinthians 2 x 0 Universidad de Chile, Melhores Momentos, Sul Americana 2017",08_8cvEMjAM,146571,2362,163,269,0
Ponte Preta 0 x 3 Corinthians ~ Globo Esporte 01/05/2017,Yhf8282jrbw,52722,547,50,73,0
"Sao Paulo 0 x 2 Corinthians, Melhores Momentos, Paulistao 2017",Ktrvx4x67CY,271596,5156,394,672,0
Ponte Preta 0 x 3 Corinthians - Melhores Momentos - Final do Paulistao 2017,6aXdliZeksg,57292,526,52,175,0
"Mirassol 2 x 3 Corinthians, Melhores Momentos, Paulistao 2017",nE4Cti5Vei4,139795,1611,121,337,0
Internacional 1 x 1 Corinthians - Melhores Momentos - COMPLETO - Copa do Brasil 2017,Gi0dM0dEfI8,100936,513,67,204,0
Materia Completa Jogo Aberto: Ponte Preta 0 x 3 Corinthians | 01/05/2017,6bVEdcpKTM4,62917,758,46,101,0
Corinthians 1 (3) x (4) 1 Internacional - Melhores Momentos - Copa do Brasil 2017,YQ2HwboNggE,71738,270,60,135,0
"Corinthians 1 x 0 Botafogo SP, Melhores Momentos, Paulistao 2017",BGgvLEE3G-w,95645,1388,134,233,0
"Corinthians 1 x 0 Santos, Melhores Momentos, Paulistao 2017",UuJrRUxxcwE,255100,3407,299,648,0
Melhores Momentos - Ponte Preta 0 x 3 Corinthians - Final Paulistao 2017 - Globo HD,_bnkjL1JJ-0,63494,722,63,237,0
"Ponte Preta 0 x 3 Corinthians, Melhores Momentos - Final Campeonato PaulistA 2017",1A1QL9_yviY,77025,0,0,255,0
Analise e Coletiva pos jogo:Ponte Preta 0X3 Corinthians,Wa05-7ZxdFk,14282,180,12,41,0
"Luverdense 0 x 2 Corinthians, Melhores Momentos, Copa Do Brasil 2017",U8VrCRwKEe0,133102,2380,143,264,0
CONFIRA A NARRACAO DE SAO PAULO E CORINTHIANS - AO VIVO,vimlDvvMZOA,1172939,21354,1617,94,0
BICHARADA (SAO PAULO) 0X2 CORINTHIANS - NARRACAO MIL GRAU,j8Em2_ol2Oo,239107,26488,395,1379,0
Ponte Preta 0 x 3 Corinthians - Gols & Melhores Momentos (HD) - Final Paulistao 2017 - 1deg Jogo,O4pvBWdhPnE,243515,2319,228,672,0
The Holy Bible - Book 46 - 1 Corinthians - KJV Dramatized Audio,Wfd0H87lU7k,386674,1630,177,0,0
"Botafogo SP 0 x 0 Corinthians, Melhores Momentos, Paulistao 2017",tUNPdSVDQsQ,103066,1087,137,197,0
