title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
"Esse Jogo a Nacao Corinthiana Jamais esquecera, Corinthians 1 x 0 Ponte Preta, 13/10/1977",W0I28ZdLK00,5834,69,8,15,0
Corinthians 1 x 1 Sao Paulo ~ Globo Esporte 24/04/2017,MYYxdrta19o,42499,342,47,84,0
"Corinthians 1 x 1 Sao Paulo, Melhores Momentos, Paulistao 2017 - COMPLETO",7rnq3zxIcsE,214368,2364,197,404,0
"Sao Paulo 0 x 2 Corinthians, Melhores Momentos, Paulistao 2017",Ktrvx4x67CY,270696,5154,392,655,0
"Corinthians 1 x 1 Sao Paulo, Melhores Momentos, Paulistao 2017",zrI39PtxAk8,51932,0,0,214,0
Corinthians 1 (3) x (4) 1 Internacional - Melhores Momentos - Copa do Brasil 2017,YQ2HwboNggE,71415,270,60,135,0
"Corinthians 2 x 0 Universidad de Chile, Melhores Momentos, Sul Americana 2017",08_8cvEMjAM,146206,2362,163,265,0
Corinthians 1 x 1 Sao Paulo - Melhores Momentos - Paulistao 2017,C-v9x6_lvaI,75122,375,53,166,0
"Corinthians 1 x 0 Botafogo SP, Melhores Momentos, Paulistao 2017",BGgvLEE3G-w,95469,1387,134,233,0
"Mirassol 2 x 3 Corinthians, Melhores Momentos, Paulistao 2017",nE4Cti5Vei4,139668,1610,121,337,0
CONFIRA A NARRACAO DE SAO PAULO E CORINTHIANS - AO VIVO,vimlDvvMZOA,1171358,21369,1614,94,0
Corinthians 1 x 1 Sao Paulo - Melhores Momentos & Gols - Campeonato Paulista 2017,kGi72aNP9II,40269,758,64,292,0
Internacional 1 x 1 Corinthians - Melhores Momentos - COMPLETO - Copa do Brasil 2017,Gi0dM0dEfI8,100452,513,67,203,0
"Sao Paulo 1 x 1 Corinthians, Melhores Momentos, Paulistao 2017",Q-2eoU-elxM,163355,1706,184,528,0
"Corinthians 1 x 0 Santos, Melhores Momentos, Paulistao 2017",UuJrRUxxcwE,254331,3401,299,647,0
Sao Paulo 0 x 2 Corinthians - Melhores Momentos (HD) - Paulistao 2017,nL490nvckUs,163497,6268,428,375,0
BICHARADA (SAO PAULO) 0X2 CORINTHIANS - NARRACAO MIL GRAU,j8Em2_ol2Oo,231210,26250,392,1367,0
"Corinthians 1 x 1 RB Brasil, Melhores Momentos, Paulistao 2017 -  COMPLETO",FeaLCq_fqZ4,40872,327,56,130,0
Assistir Corinthians x Internacional ao vivo,IfGWC3q8uh4,68220,1526,87,12,0
Sao Paulo 0 x 2 Corinthians - Melhores Momentos COMPLETO - Campeonato Paulista 2017,YOP6Mtw-_e8,55345,610,51,62,0
"Gol de Jo, Corinthians 1 x 0 Sao Paulo, 2017",Se51AflhUO0,16446,203,15,44,0
Corinthians 1 (3) x (4) 1 Internacional - Melhores Momentos & Gols - Copa do Brasil 2017,PER-tx2ajd4,50904,1083,63,475,0
"Brusque 0 (4) x 0 (5) Corinthians, Cobranca de Penaltis, Copa do Brasil 2017",mHw2AoUfe8o,73680,493,59,400,0
Melhores Momentos - Corinthians 1 x 1 Sao Paulo - Paulistao 2017 - Globo HD,GpH1D74nISA,33789,271,35,44,0
"Ex-Arbitro explica: Gol de Jo, do Corinthians, contra o Sao Paulo foi LEGAL | 23/04/2017",dVWrI_q0nMY,63128,1252,59,130,0
Penaltis - Corinthians 1 (3) x (4) 1 Internacional - Copa do Brasil 2017,KG8MT3a5diU,799600,6899,871,1737,0
"Luverdense 0 x 2 Corinthians, Melhores Momentos, Copa Do Brasil 2017",U8VrCRwKEe0,132946,2381,143,263,0
AO VIVO | Pato Futsal x Corinthians | Liga Nacional de Futsal 2017 | Segunda Rodada | 24/04/2017,BOdH7DoIrAE,17361,526,16,10,0
"Gol de Jo, Sao Paulo 0 x 2 Corinthians, 2017",a4ucjMstRPw,43634,378,29,37,0
"Corinthians 1 x 1 Luverdense, Melhores Momentos, Copa do Brasil 2017",G4YKBVseKW4,103556,1358,137,371,0
"Botafogo SP 0 x 0 Corinthians, Melhores Momentos, Paulistao 2017",tUNPdSVDQsQ,102973,1087,137,197,0
Internacional 1 x 1 Corinthians - Melhores Momentos - Copa do Brasil 2017,LwA05g0q9lg,45305,242,32,58,0
The Holy Bible - Book 46 - 1 Corinthians - KJV Dramatized Audio,Wfd0H87lU7k,381797,1612,176,0,0
Corinthians 3 x 1 Linense - Melhores Momentos & Gols - Campeonato Paulista 2017,ezYuupQcYRk,51225,1136,35,87,0
Sao Paulo 0 x 2 Corinthians - Melhores Momentos - COMPLETO - Paulistao 2017,Fab-_J1jBfw,125611,875,95,201,0
Corinthians 3 x 1 Linense - Melhores Momentos & Gols -  Paulista 2017,QgcG1ht4HsQ,15697,109,7,10,0
Internacional 1 x 1 Corinthians - Gols da Partida - Copa do Brasil 2017,M8wh328wVCE,25791,215,15,57,0
