title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
Meet your Google Assistant: Breakfast with How To Cake It,5bFYXljQDtg,20155,15,0,2,0
Introducing Google Gnome,vNOllWX-2aE,5686547,108870,5666,12238,0
Google - Year In Search 2016,KIViy7L_lo8,14958771,103374,5277,9812,0
5 Secret Places Censored on Google Maps,kn2tYSiWo3U,7775421,20157,6088,4438,0
El perturbador hallazgo en GOOGLE MAPS,j4RlNdJNPAY,77714,7176,237,1221,0
Introducing Google Wind,QAwL0O5nXe0,1542806,24481,1493,2912,0
This is the new Google Earth,O-XidwKsKAE,5208457,68006,2308,8030,0
Google interns' first week,9No-FiEInLA,6229479,53407,3491,4442,0
Fun Google Secrets - Part 2,7tMePTGolT8,613375,10872,235,882,0
"Introducing Pixel, Phone by Google",Rykmwn0SMWU,15252684,194097,11533,28299,0
ChTO EDIaT V OFISE GUGL / GOOGLE,DKoKyxiutxo,187331,11627,616,1103,0
Subway Surfers Trailer Google Play,fUk_eBKL3q8,289497744,216769,67969,5651,0
If Google Was A Guy,YuOBzWF0Aws,33630255,342594,5183,11819,0
5 Hilarious Things Invented by Google,DjxEhLTRtPY,2842152,28776,4433,7408,0
This Entire Video Is Google Translated.,FTW2TCkdZSo,85047,9561,77,2649,0
5 CRAZY Things Found On Google Maps,cPeqhTpgneE,6079916,5491,5363,676,0
If Google Was A Girl,bleoEAqhOpg,13439451,350187,15416,25766,0
Introducing Google Play for Pets,UmJ2NBHXTqo,463870,7829,581,967,0
Google Shopping Scams,46bqxNv8S1w,8202,244,4,39,0
"Heads Up! Massive ""Google Docs"" Phishing Scam Underway, Don't Open Files!",ZWUQhVwheWA,19444,757,10,156,0
"""HBO's Silicon Valley"" | Talks at Google",QOXup8chEoY,210868,2846,141,367,0
Introducing Google Home,r0iLfAV0pIg,1466233,7810,753,829,0
