title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
FALHA NA PROGRAMACAO,Pwhby8Njk64,869286,66274,3046,1215,0
TERMINO,c2JVZfOQ06E,1236560,92288,3159,1052,0
IDENTIDADE,wDScIZgh2dE,1472043,95517,3867,1758,0
PORTA DOS FUNDOS FOI VENDIDO,cKSr5xQecEY,2204813,175099,8383,3131,0
A ULTIMA MODA,fmFy9wljzeM,1137196,63932,7549,1555,0
INGREDIENTES,Fdi5UKFxIpU,1149792,75101,3376,957,0
EU TE AMO,g641xd_hMDA,1745700,108287,4840,2230,0
SO NO BRASIL,psXbJwR9vr0,1643903,113132,7445,2495,0
VOLTEI,EmfhM-nXp64,1287598,96173,16249,4926,0
FASHION WEEK,CH0p6L3Sc-s,1266405,99575,5261,2210,0
REUNIAO DE AGENCIA,_36digBq6Mk,1131593,63307,6128,1382,0
MORTO,zVv1Znd14UU,1637990,99879,2452,1161,0
"MINHA CASA, SUA CASA",t0-mbYIoftA,2475957,127780,4139,1565,0
ESQUERDA TUNICA,JQOWU1snUlM,1900599,130557,43370,11799,0
RECIFE,QDTo-rnyVUE,1729207,102992,4151,2797,0
CARLOS,IeHJoZy6y2Q,1405024,79083,8498,2293,0
PRECISO TE CONTAR UMA COISA,1Eta61j0uTs,1726455,92020,5876,1303,0
JURA,dss5OdptIO0,2617605,162614,4834,2831,0
NOMES,ng1wXWkW8Bg,1580638,90223,4671,2077,0
JAPA,-gnQTc7lwQI,1670158,120272,2867,2510,0
PLANO DE CARREIRA,l__zeb913Jk,1578132,105974,2995,1464,0
LISTA,8OT6aGyYeEc,1483302,115309,2855,1963,0
MANIFESTASHOW,Jh2-vV-nhRs,1408089,99622,1973,1428,0
CRIACAO,YTlQ_2SaQmM,4417724,198480,20877,10185,0
