username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
b'Shaun King',755113,2017-05-09 21:49:45,"b'Wow.\n\nWhile he is under criminal investigation by the FBI, Donald Trump just fired the Director of the FBI, James Comey.'",21180,None,656140,7208,-0.15000000000000002,0.775
b'Jesse McLaren',27782837,2017-05-09 21:57:29,"b""TRUMP: Can't be an investigation if there's no FBI Director. https://t.co/iX3YrP95sP""",32295,None,260579,571,0.0,0.0
b'Seth Abramson',3223426134,2017-05-09 22:44:06,b'Please RETWEET if you agree that President Trump MUST BE IMPEACHED now that he has unilaterally fired the man inves... https://t.co/or8TGRWtQY',47983,None,113451,49,-0.5,0.7
b'SubPilot Dan',1012270862,2017-05-11 01:39:19,"b'RT @KeithOlbermann: So the Comey scoreboard:\nTrump ""crazy.""  \nAshcroft hospital event \nTrump-Russia investigation \nHRC emails \nhttps://...'",86,None,455,852,-0.6,0.9
b'Beezer',3273730970,2017-05-11 01:39:19,"b'RT @Lawrence: NYT now reporting Comey said Trump is ""crazy.""'",254,None,7,76,-0.6,0.9
b'AndroJeni',371462903,2017-05-11 01:39:19,"b""Trump meetings today with Russians &amp; no US press. Do you think Putin requests stuff just to see if he's dumb enough to do it? #TrumpRussia""",0,TrumpRussia,86,76,-0.1875,0.5
b'John L. Hamilton',12332052,2017-05-11 01:39:19,"b'""Report: James Comey asked for more resources to investigate Trump-Russia ties. Then he was fired."" ~JLH https://t.co/ypRMmbldaU'",0,None,504,462,0.5,0.5
b'Henry galvin',2430341433,2017-05-11 01:39:19,"b'RT @kylegriffin1: \n\nNYT reports that Comey told associates that Trump might be ""crazy"". https://t.co/E7wLpl0VuV https://t.co/SHqJ2DSdQq'",209,None,1534,4998,-0.6,0.9
b'S. Dome \xf0\x9f\x90\xac\xf0\x9f\x91\xbd',824432984879198208,2017-05-11 01:39:19,"b'RT @AC360: Pres. Trump ""white hot"" over Russia probe, Comey, prior to firing, source tells @JohnKingCNN https://t.co/YZ32bCBsdM https://t.c...'",183,None,47,107,0.08333333333333333,0.2833333333333334
b'Jonathan Sokolow',2189219942,2017-05-11 01:39:19,"b'RT @davidfrum: 28 hours after the Comey firing, every aspect of Trump admin explanation has collapsed into rubble.'",1142,None,20,116,0.0,0.0
